name,aliases,category,subcategory,edible_pct,energy_kcal,protein_g,fat_g,carb_g,potassium_mg,phosphorus_mg,sodium_mg,calcium_mg,unit_name,unit_grams,unit_desc,note
"芸豆（干,红）",,芸豆,,100.0,331.0,21.4,1.3,62.5,1215.0,218.0,0.0,176.0,100g,100,每100克可食部,
"芸豆（干,虎皮）",,芸豆,,100.0,341.0,22.5,0.9,62.5,809.0,66.0,0.0,156.0,100g,100,每100克可食部,
"芸豆（干,杂，带皮）",,芸豆,,100.0,327.0,22.4,0.6,63.3,1058.0,386.0,0.0,349.0,100g,100,每100克可食部,
蚕豆（干）,,蚕豆,,100.0,338.0,21.6,1.0,61.5,1117.0,418.0,0.0,31.0,100g,100,每100克可食部,
蚕豆（干，带皮）,,蚕豆,,93.0,326.0,24.6,1.1,59.9,992.0,339.0,0.0,49.0,100g,100,每100克可食部,
蚕豆（去皮）,,蚕豆,,100.0,347.0,25.4,1.6,58.9,801.0,181.0,0.0,54.0,100g,100,每100克可食部,
马牙大豆（干）,,蚕豆,,100.0,338.0,27.2,0.9,59.4,181.0,510.0,0.0,7.0,100g,100,每100克可食部,
脑豆（干）,,蚕豆,,100.0,363.0,23.4,3.8,59.6,686.0,354.0,0.0,327.0,100g,100,每100克可食部,
蚕豆（烤）,,蚕豆,,100.0,377.0,27.0,2.0,63.8,1083.0,454.0,0.0,229.0,100g,100,每100克可食部,
蚕豆（炸）,开花豆,蚕豆,,100.0,447.0,26.7,20.0,40.4,742.0,330.0,0.0,207.0,100g,100,每100克可食部,
蚕豆（煮）,,蚕豆,,100.0,62.0,4.8,0.5,10.1,193.0,73.0,0.0,18.0,100g,100,每100克可食部,
扁豆（干）,,干豆类其他,,100.0,339.0,25.3,0.4,61.9,439.0,218.0,0.0,137.0,100g,100,每100克可食部,
"扁豆（干,白）",,干豆类其他,,100.0,283.0,19.0,1.3,55.6,1070.0,340.0,0.0,68.0,100g,100,每100克可食部,
眉豆（干）,饭豇豆,干豆类其他,,100.0,334.0,18.6,1.1,65.6,525.0,310.0,0.0,60.0,100g,100,每100克可食部,
豇豆（干）,,干豆类其他,,100.0,336.0,19.3,1.2,65.6,737.0,344.0,0.0,40.0,100g,100,每100克可食部,
